"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
32,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875
33,48.48484848,48.48484848,48.48484848,48.48484848,48.48484848,48.48484848,48.48484848,48.48484848,48.48484848,48.48484848
34,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353
35,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857
36,47.22222222,47.22222222,47.22222222,47.22222222,47.22222222,47.22222222,47.22222222,47.22222222,47.22222222,47.22222222
37,45.94594595,45.94594595,45.94594595,45.94594595,45.94594595,45.94594595,45.94594595,45.94594595,45.94594595,45.94594595
38,44.73684211,44.73684211,44.73684211,44.73684211,44.73684211,44.73684211,44.73684211,44.73684211,44.73684211,44.73684211
39,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615
40,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5
41,48.7804878,48.7804878,48.7804878,48.7804878,48.7804878,48.7804878,48.7804878,48.7804878,48.7804878,48.7804878
42,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762,47.61904762
43,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791
44,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273,47.72727273
45,48.88888889,48.88888889,48.88888889,48.88888889,48.88888889,48.88888889,48.88888889,48.88888889,48.88888889,48.88888889
46,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696
47,46.80851064,46.80851064,46.80851064,46.80851064,46.80851064,46.80851064,46.80851064,46.80851064,46.80851064,46.80851064
48,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667
49,48.97959184,48.97959184,48.97959184,48.97959184,48.97959184,48.97959184,48.97959184,48.97959184,48.97959184,48.97959184
50,50,50,50,50,50,50,50,50,50,50
51,49.01960784,49.01960784,49.01960784,49.01960784,49.01960784,49.01960784,49.01960784,49.01960784,49.01960784,49.01960784
52,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308,48.07692308
53,47.16981132,47.16981132,47.16981132,47.16981132,47.16981132,47.16981132,47.16981132,47.16981132,47.16981132,47.16981132
54,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815
55,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909,49.09090909
56,50,50,50,50,50,50,50,50,50,50
57,49.12280702,49.12280702,49.12280702,49.12280702,49.12280702,49.12280702,49.12280702,49.12280702,49.12280702,49.12280702
58,48.27586207,48.27586207,48.27586207,48.27586207,48.27586207,48.27586207,48.27586207,48.27586207,48.27586207,48.27586207
59,47.45762712,47.45762712,47.45762712,47.45762712,47.45762712,47.45762712,47.45762712,47.45762712,47.45762712,47.45762712
60,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667
61,45.90163934,45.90163934,45.90163934,45.90163934,45.90163934,45.90163934,45.90163934,45.90163934,45.90163934,45.90163934
62,46.77419355,46.77419355,46.77419355,46.77419355,46.77419355,46.77419355,46.77419355,46.77419355,46.77419355,46.77419355
63,46.03174603,46.03174603,46.03174603,46.03174603,46.03174603,46.03174603,46.03174603,46.03174603,46.03174603,46.03174603
64,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875
65,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615,46.15384615
66,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545
67,46.26865672,46.26865672,46.26865672,46.26865672,46.26865672,46.26865672,46.26865672,46.26865672,46.26865672,46.26865672
68,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353
69,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696,47.82608696
70,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857,48.57142857
71,49.29577465,49.29577465,49.29577465,49.29577465,49.29577465,49.29577465,49.29577465,49.29577465,49.29577465,49.29577465
72,50,50,50,50,50,50,50,50,50,50
73,50.68493151,50.68493151,50.68493151,50.68493151,50.68493151,50.68493151,50.68493151,50.68493151,50.68493151,50.68493151
74,51.35135135,51.35135135,51.35135135,51.35135135,51.35135135,51.35135135,51.35135135,51.35135135,51.35135135,51.35135135
75,50.66666667,50.66666667,50.66666667,50.66666667,50.66666667,50.66666667,50.66666667,50.66666667,50.66666667,50.66666667
76,50,50,50,50,50,50,50,50,50,50
77,49.35064935,49.35064935,49.35064935,49.35064935,49.35064935,49.35064935,49.35064935,49.35064935,49.35064935,49.35064935
78,48.71794872,48.71794872,48.71794872,48.71794872,48.71794872,48.71794872,48.71794872,48.71794872,48.71794872,48.71794872
79,48.10126582,48.10126582,48.10126582,48.10126582,48.10126582,48.10126582,48.10126582,48.10126582,48.10126582,48.10126582
80,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75,48.75
81,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815,48.14814815
82,47.56097561,47.56097561,47.56097561,47.56097561,47.56097561,47.56097561,47.56097561,47.56097561,47.56097561,47.56097561
83,46.98795181,46.98795181,46.98795181,46.98795181,46.98795181,46.98795181,46.98795181,46.98795181,46.98795181,46.98795181
84,46.42857143,46.42857143,46.42857143,46.42857143,46.42857143,46.42857143,46.42857143,46.42857143,46.42857143,46.42857143
85,45.88235294,45.88235294,45.88235294,45.88235294,45.88235294,45.88235294,45.88235294,45.88235294,45.88235294,45.88235294
86,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791,46.51162791
87,45.97701149,45.97701149,45.97701149,45.97701149,45.97701149,45.97701149,45.97701149,45.97701149,45.97701149,45.97701149
88,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545
89,44.94382022,44.94382022,44.94382022,44.94382022,44.94382022,44.94382022,44.94382022,44.94382022,44.94382022,44.94382022
90,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444
91,45.05494505,45.05494505,45.05494505,45.05494505,45.05494505,45.05494505,45.05494505,45.05494505,45.05494505,45.05494505
92,44.56521739,44.56521739,44.56521739,44.56521739,44.56521739,44.56521739,44.56521739,44.56521739,44.56521739,44.56521739
