"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,1.536643026,0,0,0,0,0
148,0,0,0,0,3.00693909,0,0,0,0,0
149,0,0,0,0,2.945341263,0,0,0,0,0
150,0,0,0,0,2.885682575,0,0,0,0,0
151,0,0,0,0,1.578995685,0,0,0,0,0
152,0,0,0,0,0.29154519,0,0,0,0,0
153,0,0,0,0,1.677972153,0,0,0,0,0
154,0,0,0,0,3.009097271,0,0,0,0,0
155,0,0,0,0,2.917202917,0,0,0,0,0
156,0,0,0,0,2.828282828,0,0,0,0,0
157,0,0,0,0,2.875773282,0,0,0,0,0
158,0,0,0,0,2.789171452,0,0,0,0,0
159,0,0,0,0,2.70531401,0,0,0,0,0
160,0,0,0,0,2.624091053,0,0,0,0,0
161,0,0,0,0,2.545398106,0,0,0,0,0
162,0,0,0,0,2.469135802,0,0,1.234567901,0,0
163,0,0,0,0,2.395209581,0,0,1.212121212,0,0
164,0,-1.219512195,0,0,2.43902439,0,0,1.219512195,0,0
165,0,-2.423884127,0,0,1.270591712,0,0,1.226812505,0,0
166,0,-3.612865325,0,0,0.117405342,0,0,1.234023799,0,0
167,0,-4.786225011,0,0,-1.020333795,0,0,1.241147697,0,-1.197342484
168,0,-3.540203526,0,0,0.143225437,0,0,1.218987523,0,0.028677947
169,0,-4.68494126,0,0,-0.967283073,0,-1.183178902,1.225944405,0,0.04275636
170,0,-5.81411798,0,0,-2.062438197,0,-2.351607876,1.232818478,0,0.05666525
171,0,-6.927562706,0,0,-3.142095666,0,-3.505067568,1.239611213,0,0.07040766
172,0,-8.025122121,0,0,-4.206128134,0,-3.483979292,1.246324044,0,0.083986562
173,0,-7.960061018,0,0,-5.254424779,0,-3.463143255,1.252958374,0,0.097404856
174,0,-7.934560327,0,1.231021748,-4.078303426,0,-3.44403444,1.231021748,0,1.31201312
175,0,-7.908847185,0,1.209677419,-2.941176471,0,-3.425117529,1.209677419,0,2.484055052
176,0,-7.84601039,0,0.080149613,-3.955402177,0,-3.404993991,1.216089804,0,1.3742495
177,0,-7.820789939,0,0.065651261,-2.846510413,0,-3.386493404,1.195245288,0,2.517702596
178,0,-7.795387192,0,0.05163289,-1.773095208,0,-3.368176539,1.174951582,0,2.450032237
179,0,-7.769820648,0,0.038075898,-0.733480873,0,-3.350041241,1.155188829,0,2.384273938
180,0,-7.709750567,0,0.050479556,-0.602863602,0,-3.330809992,1.161322898,0,2.420574887
181,0,-7.684680218,0,0.037232392,-0.729656196,0,-3.313066137,1.142005958,0,2.356296893
182,0,-7.625970186,0,0.049364433,-0.60189166,0,-3.294262801,1.148006419,0,2.391813586
183,0,-7.567964732,0,0.061360987,-0.475841874,0,-3.275671697,1.153940584,0,2.426916713
184,0,-7.543986503,0,0.048285852,-0.600817111,0,-3.258508327,1.134991548,0,2.363724071
185,0,-7.487271638,0,0.06002401,-0.477469412,0,-3.240324032,1.140798559,0,2.398081535
186,0,-7.463742483,0,1.168969182,-0.599647266,0,-3.223521077,1.122268163,0,2.336283186
187,0,-7.440078928,0,1.138674258,-0.718132855,0,-3.206878522,1.104201778,0,2.276158402
188,0,-7.416295281,0,1.10920526,-0.833048043,0,-3.190394511,1.086583553,0,2.217649749
189,0,-7.392405063,0,1.080533513,-0.944510035,0,-3.174067196,1.069398323,0,2.160702228
190,0,-7.368421053,0,1.052631579,-1.052631579,0,-3.157894737,1.052631579,0,2.105263158
191,0,-7.344355323,0,1.02547319,-1.157521158,0,-3.141875307,1.03626943,0,2.051282051
192,0,-7.291666667,0,1.041666667,-1.041666667,0,-3.125,1.041666667,0,2.083333333
193,0,-7.268063275,0,1.015065712,-1.144385027,0,-3.10930655,1.025641026,0,2.030456853
194,0,-7.216494845,0,1.030927835,-1.030927835,0,-3.092783505,1.030927835,0,2.06185567
195,0,-8.190224571,0,1.046622265,-1.943285631,0,-3.076435141,0.010572501,0,2.092912637
196,0,-7.142857143,0,2.040816327,-1.020408163,0,-3.06122449,1.020408163,0,2.040816327
197,0,-7.13113072,0,3.005436455,-0.12320961,0,-3.046153846,0.994871795,0,1.990049751
198,0,-6.128640777,0,3.941782899,0.749367089,0,-3.031221582,1.960388036,0,1.940570042
199,0,-6.130688332,0,4.851080785,1.598321762,0,-3.016426083,1.921640862,0,1.892336039
200,0,-6.132075472,0,5.734485467,2.424600828,0,-3.001765745,1.883830455,0,1.845308206
201,0,-6.068601583,0,4.776556777,1.557449309,0,-2.986385595,1.903367496,0,1.874633861
202,0,-5.117085863,0,5.643840894,2.368293862,0,-2.972011157,2.819205234,0,1.828505437
203,0,-4.191616766,0,5.545532238,3.158095602,0,-2.957766507,3.709325491,0,1.783512001
204,0,-4.120982987,0,5.591235361,3.299203641,0,-2.942840973,3.737259343,0,1.81200453
205,0,-5.029377203,0,5.636449037,2.459132237,0,-2.928065318,2.788863327,0,1.840202798
206,0,-4.117592507,0,6.476419902,3.236908195,0,-2.914238135,3.667006204,0,1.795797464
207,0,-5.008301051,0,5.557859809,2.412645591,0,-2.89975145,2.736318408,0,0.856590218
208,0,-4.925249931,0,5.610561056,2.562689446,0,-2.885408079,2.777014023,0,0.888848163
209,0,-4.958602905,0,5.506827019,2.394014963,0,-2.871980131,2.711619289,0,0.849410383
210,0,-4.877170881,0,5.558553697,2.541227359,0,-2.857913184,2.75155112,0,0.881057269
211,0,-4.909881914,0,5.456723304,3.301446051,0,-2.844735909,3.610236395,0,0.842347934
212,0,-4.830022075,0,4.563509577,2.502874326,0,-2.830937472,2.709381343,0,0.87340097
213,0,-4.751031878,0,3.67915002,1.713909031,0,-2.817272249,1.817463453,0,0.904143258
214,0,-4.672897196,0,3.738317757,1.869158879,0,-2.803738318,1.869158879,0,0.934579439
215,0,-4.595604205,0,2.867072111,2.022481663,0,-2.790333797,0.990529151,0,0.964714062
216,0,-4.519139376,0,2.929738138,2.173913043,0,-2.777056839,1.045898522,0,0.994551587
217,0,-4.443489471,0,2.071603559,2.323487804,0,-2.763905631,0.180559735,0,1.024096386
218,0,-4.368641532,0,2.137665669,2.471239881,0,-2.750878396,0.23950047,0,1.053352745
219,0,-4.294582873,0,2.203036618,2.617202389,0,-2.737973388,0.297834319,0,1.082324868
220,0,-4.221301074,0,1.361982912,1.860112785,0,-2.725188895,-0.550148117,0,0.203493302
221,0,-4.148783977,0,1.430615165,2.007864135,0,-2.712523238,-0.488379926,0,0.236257014
222,0,-4.077019674,0,0.602560884,1.263612935,0,-2.699974767,-1.323172264,0,0.268704341
223,0,-4.005996502,0,0.674353744,1.413047969,0,-2.687541862,-1.258071235,0,0.300839845
224,0,-4.044722131,0,0.591715976,1.241018942,0,-2.675916749,-1.315789474,0,0.263852243
225,0,-3.974972396,0,-0.220669364,0.511135451,-0.888559793,-2.663706992,-2.134707398,0,0.295420975
226,0,-4.012918853,0,-0.298555636,0.344744648,-0.884668452,-2.652283235,-2.188130803,0,0.259130294
227,0,-4.049583483,0,0.557546794,1.108910891,0.056035863,-2.640950742,-1.306981192,0,1.158470819
228,0,-4.085005903,0,0.471920717,0.939408173,0.047393365,-2.6297086,-1.369216242,0,1.111899692
229,0,-4.119224342,0,1.296936279,1.678722005,0.950785177,-2.618555898,-0.520529853,0,1.976807534
230,0,-4.152275693,0,2.101388143,2.400795168,0.930697639,-2.607491731,0.30686613,0,2.819390028
231,0,-4.085840843,0,2.182123374,2.55387071,0.941879164,-2.595910866,0.381635691,0,2.859545837
232,0,-4.020062315,0,1.403961448,1.850872554,0.952961805,-2.584432416,-0.40239921,0,2.038953135
233,0,-4.052989079,0,1.304494508,1.673077641,0.933137675,-2.573653911,-0.479994,0,1.975809481
234,0,-3.202134757,0,2.088424794,2.377612051,1.797519126,-2.562959661,0.32595007,0,2.796528447
235,0,-2.372149211,0,2.853484544,3.066252966,2.639780018,-2.552348821,1.112371474,0,3.596806095
236,0,-1.562273977,0,3.600347021,3.739532198,3.46075876,-2.541820552,1.879971077,0.861881654,4.377396715
237,0,-0.771786901,0,3.47956559,4.397958091,3.410553411,-2.531374021,1.77920686,0.851002968,5.13901794
238,0,0,0,4.201680672,5.042016807,3.361344538,-2.521008403,2.521008403,0.840336134,5.882352941
239,0,-0.758853288,0,3.456391162,4.366444366,2.544994376,-2.510195472,1.770471072,0.007031607,5.102076672
240,0,0,0,4.166666667,5,3.333333333,-2.5,2.5,0.833333333,5.833333333
241,-0.829846824,-0.746242874,-0.829846824,3.433506045,4.335369853,2.530332884,-3.319043009,1.761779743,0.013829346,5.065653075
242,-0.826389367,-0.660020626,-0.826389367,3.532646048,4.502093199,2.560396448,-3.30487469,1.855925213,0.027540622,5.130674003
243,-0.823017277,-0.740791083,-0.823017277,3.404342065,4.298227745,2.509179927,-3.291733261,1.746457817,0.013602204,5.023281107
244,-0.819672131,-0.819672131,-0.819672131,3.278688525,4.098360656,2.459016393,-3.278688525,1.639344262,0,4.918032787
245,-1.632543824,-1.551009493,-1.632543824,2.560074864,3.44666355,1.672240803,-4.080949992,0.91580601,0.013380611,4.981611501
246,-1.62601626,-1.62601626,-1.62601626,2.43902439,3.25203252,1.62601626,-4.06504065,0.81300813,0,4.87804878
247,-1.619326597,-1.539119282,-1.619326597,2.538471656,3.417343016,1.658385706,-4.047916804,0.907596185,0.01316439,4.940626953
248,-2.418879056,-1.453069774,-2.418879056,1.831981157,2.776870304,0.884491909,-4.836806921,0.196309384,0.026219192,5.002619172
249,-1.599740933,-0.718376857,-1.599740933,2.523536834,3.394762367,1.651126651,-4.008677913,0.905943637,0.012953368,5.709292164
250,-0.8,0,-0.8,3.2,4,2.4,-3.2,1.6,0,6.4
251,-1.580574233,-0.706916316,-1.580574233,2.508755174,3.372466673,1.643887986,-3.970175886,0.904228222,0.012747379,5.669150901
252,-0.793650794,0,-0.793650794,3.174603175,3.968253968,2.380952381,-3.174603175,1.587301587,0.793650794,6.349206349
253,-0.024904274,0.691588785,-0.024904274,3.82626036,4.552115487,3.101354507,-2.397260274,2.255732802,0.771960406,7.014265246
254,0,0.787401575,0,3.937007874,4.724409449,3.149606299,-2.362204724,2.362204724,0.787401575,7.086614173
255,-0.759399889,0.098713638,-0.759399889,3.263115689,4.11170016,2.41343127,-3.111399204,1.684093643,0.802716888,6.374379069
256,-1.512357064,-0.583215667,-0.731632339,2.595888309,3.505761216,1.683667199,-3.853955375,1.012704843,0.817907878,6.448839209
257,-2.258814887,-1.258361076,-1.48152683,1.935346012,2.906587045,0.960362124,-4.589822833,0.34805972,0.832976052,6.522602928
258,-2.224931423,-1.154944988,-1.450954094,2.053088744,2.314169746,1.016990439,-5.318954487,0.461753448,0.847922894,6.595679951
259,-2.96179407,-1.052536068,-1.420635643,1.401897396,1.728499157,0.303094596,-6.041306524,-0.193423598,0.862749863,6.668079823
260,-2.976476236,-1.149150108,-1.44057623,1.267790934,1.526899678,0.239808153,-6.046065259,-0.311041991,0.840840841,6.542056075
261,-2.207191171,-1.243670605,-0.676517714,1.917443409,2.108620537,0.960512273,-5.266903915,0.355145166,0.819380121,6.418348298
262,-2.93022981,-1.143396004,-1.406370029,1.27759788,1.532679547,0.259694269,-5.975789784,-0.2885578,0.833875451,5.727599835
263,-2.173214547,-1.236439986,-1.431660141,1.917137696,2.1053856,0.969088415,-5.209215406,0.367175661,0.812746674,6.383847815
264,-2.88506282,-1.137682842,-1.396648045,1.286956522,1.538105701,0.278940028,-5.906976744,-0.266728517,0.827023879,6.459107807
265,-3.590560301,-1.790613718,-1.36192408,0.663206459,0.977292325,-0.404916847,-6.59817682,-0.894144794,0.841189268,6.533680254
266,-3.614595864,-1.880752301,-1.387057947,0.525264059,0.774531579,-0.4750186,-6.613226453,-1.016503912,0.820283371,6.407689227
267,-3.565113228,-1.780837506,-1.352855553,0.653279177,0.962709177,-0.404535354,-6.55036771,-1.636270666,0.834238044,5.734297591
268,-3.516046578,-1.68186194,-1.318931211,0.780013565,1.148778016,-0.334675818,-6.488051314,-2.249604341,0.848084695,5.810328213
269,-3.540021914,-1.771151529,-1.343904633,0.643572668,0.948449007,-0.404119777,-6.503243198,-2.367228161,0.827399882,5.688160884
270,-3.491690448,-2.409638554,-1.310483871,0.768459739,0.399400899,-1.072745558,-7.178799061,-2.973108402,0.841042893,5.763109399
271,-3.515279008,-2.495651934,-1.335069108,1.394784718,0.203363746,-0.375919067,-6.427346645,-2.326158256,0.820672064,5.642754504
272,-3.467666354,-2.396131018,-1.302140808,1.51955675,0.388084176,-1.034558662,-6.361183015,-2.193944713,0.834115892,5.716643741
273,-3.420445811,-3.024502297,-1.269474899,0.916905444,0.570776256,-1.687116564,-7.023603915,-2.063037249,0.847457627,5.789877301
274,-3.373612554,-2.92340356,-1.237068258,1.042741541,0.751473212,-2.333569598,-7.679711806,-2.655155563,0.860698427,5.862463871
275,-3.397441099,-2.247009376,-1.261710077,1.66160299,0.557147832,-1.640273019,-7.697501688,-2.774715672,0.840450047,5.743124713
276,-3.351293103,-2.145462347,-1.229773463,1.069976461,0.735294118,-2.277121375,-7.626936317,-2.643407534,0.853500432,5.814703353
277,-3.374740097,-2.23573458,-1.254035593,1.679381225,0.543851312,-1.594642003,-7.644397125,-2.761142615,0.833555971,5.697111548
278,-3.329262465,-2.848686644,-1.222558869,1.096294735,0.719500026,-1.508175901,-8.288727543,-2.631717736,0.846420016,5.767702982
279,-3.352336915,-2.935866238,-1.246449984,0.950193171,1.274912838,-0.838091247,-7.552513571,-2.000313365,0.82677269,5.651820589
280,-3.307515177,-2.833923734,-1.215423303,1.080631754,1.449275362,-0.750938673,-8.187134503,-1.871101871,0.839454355,5.721444978
281,-3.330225813,-2.919783338,-1.238951816,1.677472471,1.256829199,-0.09292241,-7.4625323,-1.250836465,0.820097581,5.607235142
282,-3.352298939,-3.003831418,-0.523157409,1.529285824,1.067724222,-0.184020856,-6.752608963,-1.376778339,0.801109228,5.495011512
283,-3.373750698,-3.086107457,-0.553271408,2.110738001,0.881900874,0.455500164,-6.787043837,-1.500303092,0.782480565,6.113404412
284,-3.330132902,-2.986653236,-0.520806998,2.24120603,1.052737117,0.544190265,-6.7076861,-1.372480016,0.794815977,6.183175308
285,-3.286857603,-2.888086643,-0.488591145,2.370414823,1.221792794,0.632101738,-6.629001883,-1.24587211,0.807061791,6.252354049
286,-3.308255692,-2.969657844,-0.518470512,2.219799822,1.038062284,0.536565978,-6.663351566,-1.36816537,0.788619915,6.136250622
287,-3.265589717,-2.872469285,-0.48670259,2.347255782,1.204819277,0.623268698,-6.585788562,-1.243308582,0.800696258,6.204506066
288,-3.286661754,-2.952842662,-0.516148061,2.19876869,1.023691138,0.529100529,-6.619593998,-1.36383634,0.782518825,6.090026478
289,-3.244592346,-2.857003559,-0.484818805,2.324507015,1.18819564,0.614619156,-6.543128494,-1.240694789,0.794429188,6.157376889
290,-3.265345671,-2.936205148,-0.51383974,2.178103315,1.009615385,0.521789545,-6.576402321,-1.359494769,0.776510556,6.044487427
291,-3.223860428,-2.841687703,-0.48294014,2.302158273,1.17191237,0.606148073,-6.501011268,-1.238033542,0.788258336,6.110950592
