"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
25171,32.47390034,30.39706953,39.27949628,30.37655568,30.3223311,31.87652739,29.81125268,32.15778674,36.47495516,33.51917747
25172,32.47468438,30.39783344,39.28041329,30.37721816,30.32307835,31.87724675,29.81214039,32.15869805,36.47581134,33.52000751
25173,32.47546834,30.39859728,39.28133019,30.37788059,30.32382553,31.87796605,29.81302802,32.15960926,36.47666744,33.52083747
25174,32.47625221,30.39936103,39.282247,30.37854294,30.32457263,31.87868527,29.81391555,32.16052037,36.47752344,33.52166734
25175,32.47703601,30.40012471,39.2831637,30.37920523,30.32531966,31.87940442,29.81480299,32.16143139,36.47837936,33.52249713
25176,32.4854532,30.40906344,39.289474,30.37415757,30.32016211,31.8883212,29.80950098,32.15588717,36.4725273,33.5169318
25177,32.48623693,30.40982706,39.2903906,30.37481982,30.32090909,31.88904031,29.81038838,32.15679815,36.47338319,33.51776155
25178,32.48702058,30.41059061,39.29130711,30.37548201,30.32165601,31.88975934,29.81127568,32.15770904,36.47423899,33.51859122
25179,32.48160755,30.40540279,39.28517507,30.37043543,30.31649953,31.88448547,29.80597474,32.1521659,36.46838805,33.51302699
25180,32.48239117,30.4061663,39.28609156,30.37109758,30.31724641,31.88520446,29.806862,32.15307675,36.46924382,33.51385663
25181,32.49080539,30.41510173,39.27996055,30.36605207,30.32629782,31.87993166,29.81517865,32.16079928,36.46339394,33.50829346
25182,32.49158894,30.41586519,39.28087703,30.36671418,30.32704464,31.88065062,29.81606583,32.16171004,36.46424969,33.50912306
25183,32.49237242,30.40887233,39.27439108,30.35936618,30.31999501,31.87347261,29.81695292,32.1626207,36.45752525,33.50232319
25184,32.49315581,30.40963586,39.27530758,30.36002838,30.32074191,31.87419165,29.81783992,32.16353127,36.45838104,33.50315284
25185,32.49393913,30.4103993,39.27622397,30.36069052,30.32148873,31.87491061,29.81872682,32.16444174,36.45923674,33.50398241
25186,32.49472236,30.41116267,39.27714026,30.3613526,30.32223548,31.87562951,29.81961363,32.16535212,36.46009234,33.50481188
25187,32.49550551,30.41192597,39.27805645,30.36201461,30.32298215,31.87634833,29.82050035,32.1662624,36.46094785,33.50564127
25188,32.50391708,30.40673951,39.27192729,30.3569708,30.31782701,31.87107726,29.81520049,32.16072051,36.46816224,33.50007985
25189,32.50470017,30.40750276,39.27284346,30.35763277,30.31857365,31.87179605,29.81608717,32.16163076,36.46901767,33.50090921
25190,32.50548318,30.40826594,39.27375954,30.35829468,30.3193202,31.87251476,29.81697375,32.1625409,36.46987301,33.50173848
25191,32.50626611,30.40902904,39.27467552,30.35895652,30.32006668,31.8732334,29.81786024,32.16345095,36.4631505,33.50256766
25192,32.50704896,30.40979206,39.27559139,30.3596183,30.32081309,31.87395197,29.81874664,32.16436091,36.46400588,33.50339676
25193,32.50783172,30.410555,39.27650717,30.36028001,30.32155942,31.87467046,29.81963295,32.16527076,36.46486116,33.50422577
25194,32.51624061,30.4194875,39.28281608,30.35523737,30.33060784,31.86940061,29.82794685,32.17299086,36.45901379,33.49866562
25195,32.51082837,30.41430188,39.27668838,30.35019576,30.32545351,31.86413178,29.82264798,32.16745012,36.45316741,33.49310646
25196,32.50387553,30.4073126,39.27760414,30.35085745,30.31840751,31.86485027,29.81609971,32.16096092,36.45402274,33.49393549
25197,32.4984648,30.40212847,39.27147747,30.3458169,30.31325469,31.85958251,29.81080222,32.15542157,36.44817742,33.48837739
25198,32.49924774,30.40289159,39.27239322,30.34647856,30.31400119,31.86030097,29.81168868,32.15633158,36.44903272,33.48920639
25199,32.49383806,30.3977085,39.26626758,30.34143907,30.30884941,31.85503428,29.8063922,32.15079324,36.44318845,33.48364933
25200,32.49462097,30.39847157,39.26718331,30.34210069,30.30959587,31.8557527,29.80727862,32.15170322,36.44404373,33.4844783
25201,32.49540379,30.39923457,39.26809895,30.34276225,30.31034226,31.85647105,29.80816494,32.15261311,36.44489892,33.48530719
25202,32.49618653,30.39999749,39.26901449,30.34342374,30.31108857,31.85718933,29.80905117,32.1535229,36.44575401,33.48613598
25203,32.4969692,30.40076033,39.26992993,30.34408517,30.31183481,31.85790753,29.80993731,32.15443259,36.44660902,33.48696469
25204,32.49775178,30.40152309,39.27084527,30.34474653,30.31258097,31.85862567,29.81082336,32.15534218,36.43989045,33.48779331
25205,32.49853428,30.40228578,39.27176051,30.34540782,30.31332706,31.85934373,29.81170932,32.15625168,36.44074549,33.48862185
25206,32.4993167,30.40304839,39.27267564,30.34606905,30.31407307,31.86006172,29.81259518,32.15716108,36.44160044,33.4894503
25207,32.50772241,30.39786657,39.27898299,30.35561114,30.32311768,31.85479631,29.80730002,32.15162413,36.44881287,33.49739108
25208,32.50850476,30.39862914,39.27989803,30.35627234,30.32386365,31.85551426,29.80818584,32.1525335,36.44966773,33.49821945
25209,32.50928704,30.39939163,39.28081297,30.35693348,30.32460953,31.85623214,29.80907156,32.15344277,36.45052251,33.49904774
25210,32.51006924,30.40015404,39.2817278,30.35759455,30.32535534,31.85694995,29.8099572,32.15435195,36.45137719,33.49987594
25211,32.51085136,30.40091638,39.28264254,30.35825556,30.32610108,31.85766769,29.81084274,32.15526102,36.45223178,33.50070406
25212,32.51925437,30.40984492,39.28894808,30.35321691,30.32095032,31.85240345,29.80554875,32.14972528,36.44638961,33.49514843
25213,32.52003643,30.41060721,39.28986272,30.35387788,30.32169602,31.85312115,29.80643425,32.15063432,36.44724418,33.49597651
25214,32.5146278,30.40542622,39.28373923,30.34884029,30.3165463,31.84785797,29.80114126,32.1450996,36.44140306,33.49042193
25215,32.51540982,30.40618847,39.28465386,30.34950122,30.31729196,31.84857564,29.80202672,32.14600861,36.44225761,33.49124998
25216,32.51619177,30.40695064,39.28556838,30.35016209,30.31803754,31.84929323,29.80291209,32.14691752,36.44311206,33.49207795
25217,32.51697363,30.40771273,39.28648281,30.35082289,30.31878304,31.85001075,29.80379737,32.14782634,36.44396642,33.49290583
25218,32.51775541,30.40847474,39.28739713,30.35148362,30.31952847,31.8507282,29.80468255,32.14873505,36.4448207,33.49373362
25219,32.51853711,30.40923667,39.28831136,30.35214429,30.32027383,31.85144557,29.80556764,32.14964368,36.44567488,33.49456133
